Date,tbl_liquidity_index,tbl_liquidity_30d_change,S&P 500,Bitcoin
2025-01-13,52.4681038,-3.03159,5836.22,94516.53
2025-01-12,53.4544025,-1.94499,5827.04,94488.44
2025-01-11,53.4544025,-2.61754,5827.04,94566.59
2025-01-10,53.4744496,-3.06736,5827.04,94701.46
2025-01-09,53.3063635,-2.37143,5918.25,92484.04
2025-01-08,53.1937143,-3.1518,5918.25,95043.52
2025-01-07,52.9223071,-3.77253,5909.03,96922.71
2025-01-06,53.7517452,-2.94309,5975.38,102078.1
2025-01-05,54.1812942,-2.35605,5942.47,98314.96
2025-01-04,54.1812942,-1.34555,5942.47,98236.23
2025-01-03,54.1331857,-1.24619,5942.47,98107.43
2025-01-02,53.584996,-1.33995,5868.55,96886.88
2025-01-01,53.4133217,-1.08835,5881.63,94419.76
2024-12-31,52.9338491,-2.08199,5881.63,93429.2
2024-12-30,53.0484334,-2.1062,5906.94,92643.21
2024-12-29,53.6341779,-1.72524,5970.84,93530.23
2024-12-28,53.6341779,-1.10106,5970.84,95163.93
2024-12-27,53.5776674,-1.23565,5970.84,94164.86
2024-12-26,53.4528017,-1.10895,6037.59,95795.52
2024-12-25,53.3810332,-1.287,6040.04,99299.19
2024-12-24,53.4259219,-1.07616,6040.04,98676.1
2024-12-23,53.6187418,-0.88334,5974.07,94686.24
2024-12-22,54.2913962,-0.19554,5930.85,95104.93
2024-12-21,54.2913962,0.071418,5930.85,97224.73
2024-12-20,54.2984408,0.715659,5930.85,97755.93
2024-12-19,54.3772105,0.500874,5867.08,97490.95
2024-12-18,54.9439931,0.596784,5872.16,100041.5
2024-12-17,54.9087468,0.682159,6050.61,106140.6
2024-12-16,54.8340253,0.607438,6074.08,106029.7
2024-12-15,55.4996902,1.200617,6051.09,104298.7
2024-12-14,55.4996902,0.695699,6051.09,101373
2024-12-13,55.3993965,1.072374,6051.09,101459.3
2024-12-12,56.0719393,2.085039,6051.25,100043
2024-12-11,56.5418087,1.179746,6084.19,101173
2024-12-10,55.6777977,0.176415,6034.91,96675.43
2024-12-09,56.3455173,0.844135,6052.85,97432.72
2024-12-08,56.6948372,1.171314,6090.27,101236
2024-12-07,56.6948372,1.866098,6090.27,99923.34
2024-12-06,56.5373469,3.639286,6090.27,99920.71
2024-12-05,55.5268435,3.895744,6075.11,96593.57
2024-12-04,55.3793723,4.687,6086.49,98768.53
2024-12-03,54.9249461,3.855778,6049.88,96002.16
2024-12-02,54.5016707,3.432503,6047.15,95865.3
2024-12-01,55.0158401,3.682099,6032.38,97279.79
2024-11-30,55.1546373,3.728398,6032.38,96449.06
2024-11-29,55.3594139,2.982322,6032.38,97461.52
2024-11-28,54.7352398,2.634879,5998.74,95652.47
2024-11-27,54.8133175,2.555469,5998.74,95962.53
2024-11-26,54.56175,1.950668,6021.63,91985.32
2024-11-25,54.6680378,2.056955,5987.37,93102.3
2024-11-24,54.502078,1.864148,5969.34,98013.82
2024-11-23,54.502078,1.590974,5969.34,97777.28
2024-11-22,54.4869381,2.023424,5969.34,98997.66
2024-11-21,54.2199779,1.783087,5948.71,98504.73
2024-11-20,53.5827815,0.934542,5917.11,94339.5
2024-11-19,53.8763369,0.264628,5916.98,92343.79
2024-11-18,54.3472095,0.735501,5893.62,90542.64
2024-11-17,54.2265877,0.523647,5870.62,89845.85
2024-11-16,54.2265877,0.47947,5870.62,90558.48
2024-11-15,54.2990736,0.518114,5870.62,91066.01
2024-11-14,54.8039909,1.836502,5949.17,87250.43
2024-11-13,54.3270224,0.336717,5985.38,90584.17
2024-11-12,53.9869005,-0.0799,5983.99,87955.81
2024-11-11,55.3620628,1.295264,6001.35,88701.49
2024-11-10,55.5013825,1.355481,5995.54,80474.19
2024-11-09,55.5013825,1.368187,5995.54,76778.87
2024-11-08,55.5235237,2.072605,5995.54,76545.48
2024-11-07,54.8287394,1.440159,5973.1,75904.86
2024-11-06,52.8980606,-0.62135,5929.04,75639.08
2024-11-05,51.6310997,-5.10488,5782.76,69359.57
2024-11-04,50.6923724,-6.04361,5712.69,67811.51
2024-11-03,51.0691681,-5.62952,5728.8,68741.12
2024-11-02,51.0691681,-5.80199,5728.8,69289.28
2024-11-01,51.3337415,-5.63418,5728.8,69482.47
2024-10-31,51.4262394,-5.26973,5705.45,70215.19
2024-10-30,52.3770917,-5.55995,5813.67,72339.54
2024-10-29,52.1003609,-6.27393,5832.92,72720.49
2024-10-28,52.2578487,-6.11644,5823.52,69907.75
2024-10-27,52.6110824,-5.76617,5808.12,67929.3
2024-10-26,52.6110824,-6.10658,5808.12,67014.7
2024-10-25,52.6379299,-5.70855,5808.12,66642.41
2024-10-24,52.9111038,-5.33668,5809.86,68161.05
2024-10-23,52.4635137,-5.40296,5797.42,66432.2
2024-10-22,52.4368912,-5.85222,5851.2,67361.4
2024-10-21,52.6482393,-5.64087,5853.98,67367.85
2024-10-20,53.6117088,-4.69805,5864.67,69001.71
2024-10-19,53.6117088,-4.37543,5864.67,68362.73
2024-10-18,53.7029408,-3.50766,5864.67,68418.79
2024-10-17,53.7471177,-3.04293,5841.47,67399.83
2024-10-16,53.7809598,-3.06715,5842.47,67612.72
2024-10-15,52.967489,-3.89068,5815.26,67041.11
2024-10-14,53.9903054,-2.86787,5859.85,66046.13
2024-10-13,54.0667987,-2.76098,5815.03,62851.37
2024-10-12,54.0667987,-2.91016,5815.03,63193.02
2024-10-11,54.1459011,-2.05467,5815.03,62445.09
2024-10-10,54.1331955,-1.48204,5780.05,60274.5
2024-10-09,53.4509185,-2.66223,5792.04,60582.1
2024-10-08,53.38858,-2.4056,5751.13,62131.97
2024-10-07,53.5194072,-2.27478,5695.94,62236.66
2024-10-06,56.7359804,0.943305,5751.07,62818.95
2024-10-05,56.7359804,1.930605,5751.07,62089.95
2024-10-04,56.6986831,2.576742,5751.07,62067.48
2024-10-03,56.871162,2.413124,5699.94,60759.4
2024-10-02,56.9679261,1.704213,5709.54,60632.79
2024-10-01,56.6959714,1.417753,5708.75,60837.01
2024-09-30,57.9370434,2.851349,5762.48,63329.5
2024-09-29,58.3742918,3.466973,5738.17,65635.31
